STNID,LON,LAT,STN_SP,HT,HT_PA,HT_TA,HT_WD,HT_RN,STN,STN_KO,STN_EN,FCT_ID,LAW_ID,BASIN
129,126.4939,36.77658,45110,25.25,26.55,1.6,20.2,1.1,129,서산,Seosan,11C20101,4421010600,----
130,129.41278,36.99176,71100,48.98,50.18,1.75,10,1.3,136,울진,Uljin,11H10101,4793025023,----
131,127.44066,36.63924,41111,58.7,60.1,1.7,10,0.8,131,청주,Cheongju,11C10301,4311311400,----
133,127.3721,36.37199,45201,67.79,68.49,1.4,23.7,1,133,대전,Daejeon,11C20401,3020012400,----
135,127.99458,36.22025,41300,244.98,246.18,1.6,10,1.1,131,추풍령,Chupungnyeong,11C10401,4374033521,----
136,128.70733,36.57293,71311,141.26,142.76,1.8,10,1.3,136,안동,Andong,11H10501,4717012900,----
137,128.15741,36.40837,71200,96.58,97.98,1.8,10,1.4,143,상주,Sangju,11H10302,4725011000,----
138,129.38002,36.03201,71501,3.94,4.92,1.6,10,1.2,138,포항,Pohang,11H10201,4711110400,----
140,126.76135,36.0053,51100,27.85,24.6,1.7,10,1,146,군산,Gunsan,21F10501,5213010300,----
143,128.65296,35.87797,71401,54.27,55.52,1.8,10,0.6,143,대구,Daegu,11H10701,2714010300,----
146,127.11718,35.84092,51211,60.44,62.9,1.6,10,1.4,146,전주,Jeonju,11F10201,5211310600,----
152,129.33469,35.58237,75201,81.14,83.2,1.8,10,1.3,152,울산,Ulsan,11H20101,3111011700,----
155,128.57282,35.17019,75301,34.97,39.1,1.7,10,1.3,155,창원,Changwon,11H20301,4812510100,----
156,126.89156,35.17294,55101,70.28,73.9,1.7,17.5,0.8,156,광주,Gwangju,11F20501,2917010900,----
159,129.03203,35.10468,75101,69.56,70.9,1.5,18,1.3,159,부산,Busan,11H20201,2611011600,----
162,128.43561,34.84541,75400,31.24,33.2,1.5,18,1.3,159,통영,Tongyeong,11H20401,4822010900,----
165,126.38151,34.81732,55201,44.7,39.2,1.5,14.5,1,165,목포,Mokpo,21F20801,4611010300,----
168,127.74063,34.73929,55601,65.93,66.1,1.5,13,0.6,168,여수,Yeosu,11F20401,4613010700,----
169,125.45105,34.68719,55401,75.12,78,1.5,15.5,0.6,169,흑산도,Heuksando,11F20701,4691036022,----
170,126.70182,34.3959,55500,35.37,36.7,1.5,10,0.8,165,완도,Wando,11F20301,4689031022,----
172,126.599,35.34824,51300,52.42,53.5,1.8,10,1.7,146,고창,Gochang,21F10601,5279038025,----
174,127.3694,35.0204,56110,165,166.5,1.5,10,0.8,156,순천,Suncheon,11F20600,4615025025,----
177,126.68772,36.65759,45301,27.74,28.7,1.5,10,1.5,177,홍성,Hongseong,11C20104,4480025625,----
181,127.396944,36.63972,41210,32,32,1.5,10,0.5,131,서청주(예),Seocheongju,11C10301,4311331035,----
184,126.52969,33.51411,61101,20.79,21.99,1.7,15,1.5,184,제주,Jeju,11G00201,5011010700,----
185,126.16283,33.29382,61200,71.39,72.49,1.7,10,1.5,184,고산,Gosan,11G00501,5011031023,----
188,126.8802,33.38677,61400,20.34,21.74,1.7,10,1.5,184,성산,Seongsan,11G00101,5013025927,----
189,126.5653,33.24616,61311,51.86,53.16,1.7,10,1.5,184,서귀포,Seogwipo,11G00401,5013010100,----
192,128.04004,35.16378,75610,29.35,31.6,1.8,10,1.3,155,진주,Jinju,11H20701,4817012600,----
201,126.44634,37.70739,24100,47.84,49.24,1.6,10,0.6,112,강화,Ganghwa,11B20101,2871032027,----
202,127.49446,37.48863,24200,47.26,48.76,1.9,10,0.6,119,양평,Yangpyeong,11B20503,4183025021,----
203,127.48421,37.26399,24300,80.09,81.59,1.8,10,0.6,119,이천,Icheon,11B20701,4150025328,----
211,128.16714,38.05986,32100,201.78,202.78,1.5,10,0.5,211,인제,Inje,11D10201,5181025022,----
212,127.88043,37.6836,32200,140.2,141.2,1.6,13,0.5,101,홍천,Hongcheon,11D10302,5172025029,----
216,128.98929,37.17038,36100,714.45,715.25,1.6,16,0.6,216,태백,Taebaek,11D20301,5119010100,----
217,128.6459,37.38149,32300,307.58,309,1.8,10,0.6,217,정선군,JeongseonGun,11D10502,5177025022,----
221,128.19433,37.15928,42200,264.62,265.39,1.5,10,0.5,131,제천,Jecheon,11C10201,4315011200,----
226,127.73415,36.48761,42300,171.31,172.71,1.5,10,0.5,131,보은,Boeun,11C10302,4372025030,----
232,127.29282,36.76217,46100,84.78,83,1.8,10,1.2,133,천안,Cheonan,11C20301,4413136022,----
235,126.55744,36.32724,46200,9.98,17,1.6,10,1.1,133,보령,Boryeong,11C20201,4418010900,----
236,126.92079,36.27242,46300,13.42,14.88,1.7,10,0.5,133,부여,Buyeo,11C20501,4476025033,----
238,127.48175,36.10563,46400,172.69,173.99,1.5,10,0.5,133,금산,Geumsan,11C20601,4471025025,----
239,127.24438,36.48522,45200,89.5,95,1.6,10,1,133,세종,sejong,11C20404,3611010800,----
243,126.71657,35.72961,52100,12.2,13.5,1.8,10,0.6,146,부안,Buan,21F10602,5280033021,----
244,127.28556,35.61203,52400,247.04,248.44,1.8,10,0.6,146,임실,Imsil,11F10402,5275025022,----
245,126.83904,35.56337,52200,68.7,70.97,1.9,10,1,146,정읍,Jeongeup,11F10203,5218010800,----
247,127.39652,35.4213,52300,133.49,91.8,1.7,10,0.7,146,남원,Namwon,11F10401,5219011600,----
248,127.52031,35.65696,52500,406.87,408,1.6,10,0.5,146,장수,Jangsu,11F10301,5274025023,----
251,126.697,35.42661,52600,58.84,55.5,1.7,10,0.6,146,고창군,Gochanggun,21F10601,5279025030,----
252,126.47784,35.28366,56500,37.2,38.7,1.5,13,0.6,156,영광군,Yeonggwanggun,21F20102,4687034030,----
253,128.89075,35.22981,73000,54.59,54.6,1.7,10,0.5,159,김해시,Gimhaesi,11H20304,4825010300,----
254,127.1286,35.37131,52700,129.38,128.4,1.6,10,0.6,146,순창군,Sunchanggun,11F10403,5277025026,----
255,128.6726,35.22655,73100,50.95,50.3,1.8,10,0.7,155,북창원,Bukchangwon,11H20301,4812311100,----
257,129.02009,35.30737,73100,6.29,16.1,1.8,10,0.6,152,양산시,Yangsansi,11H20102,4833031027,----
258,127.21226,34.76335,56710,1.41,4.3,1.5,10,0.6,168,보성군,Boseonggun,11F20404,4678038023,----
259,126.78408,34.64457,56400,16,20,1.5,10,0.6,165,강진군,GangjinGun,11F20303,4681025027,
260,126.91951,34.68886,56200,43.99,46.3,1.5,10,0.8,165,장흥,Jangheung,11F20304,4680025043,----
261,126.56907,34.55375,56300,16.36,17.91,1.5,10,0.8,165,해남,Haenam,11F20302,4682025034,----
262,127.27572,34.61826,56400,51.91,53.31,1.5,10,0.8,168,고흥,Goheung,11F20403,4677025029,----
263,128.28812,35.32258,75500,14.1,14.9,2,10,0.6,155,의령군,Uiryeonggun,11H20602,4872025024,----
264,127.74538,35.51138,76700,152.07,152.5,1.8,10,0.6,155,함양군,Hamyanggun,11H20502,4887025022,----
266,127.6914,34.9434,56600,88.21,87.9,1.7,10,0.6,156,광양시,Gwangyangsi,11F20402,4623010600,----
268,126.25846,34.47296,56100,9.82,6.9,1.7,10,0.6,165,진도군,Jindogun,21F20201,4690025025,----
271,128.91449,36.94361,72100,324.67,326.22,1.9,10,0.6,136,봉화,Bonghwa,11H10402,4792034021,----
272,128.51687,36.87183,72200,211.32,212.78,1.91,10,0.58,136,영주,Yeongju,11H10401,4721025021,----
273,128.14879,36.62727,72300,173.01,174.51,1.8,10,0.6,136,문경,Mungyeong,11H10301,4728010800,----
276,129.04005,36.4351,72900,208.65,210.2,1.75,10,0.5,143,청송군,Cheongsonggun,11H10503,4775025000,----
277,129.40926,36.53337,72400,40.71,42.01,1.7,10,0.6,138,영덕,Yeongdeok,11H10102,4777036030,----
278,128.68864,36.3561,72500,81.44,82.94,1.7,10,0.6,143,의성,Uiseong,11H10502,4773025031,----
279,128.32055,36.13055,72600,49.17,50.67,1.7,10,1.4,143,구미,Gumi,11H10602,4719010800,----
281,128.9514,35.97742,72700,96.12,97.62,1.7,10,0.5,143,영천,Yeongcheon,11H10702,4723010200,----
283,129.2009,35.8174,72800,40.13,41.63,1.67,10,0.59,138,경주시,Gyeongjusi,11H10202,4713011300,----
284,127.9099,35.66739,76100,228.45,227.3,1.5,10,1.3,152,거창,Geochang,11H20502,4888025028,----
285,128.16994,35.56505,76200,26.72,33.2,1.5,10,0.5,152,합천,Hapcheon,11H20503,4889025021,----
288,128.74412,35.49147,76300,8.31,12.5,2,10,1.3,152,밀양,Miryang,11H20601,4827010200,----
289,127.8791,35.413,76400,138.22,138.8,1.6,10,0.6,155,산청,Sancheong,11H20703,4886025023,----
294,128.60459,34.88818,76500,44.83,46.7,1.7,10,0.6,159,거제,Geoje,11H20403,4831010800,----
295,127.92641,34.81662,76600,45.71,47.01,1.8,10,0.8,159,남해,Namhae,11H20405,4884031021,----
